"Unique.Code","Easting","Northing","Date","Time","Species","Count"
"11_ER_091116_MO2",NA,NA,"09/11/2016","07:30","DN",50
"11_ER_091116_MO3",477754.139268954,101109.809300942,"09/11/2016","07:45","DB",12
"11_ER_091116_MO4",477412.491196265,102809.321357433,"09/11/2016","07:45","DB",30
"11_ER_091116_MO5",477018.268574514,101101.05160422,"09/11/2016","07:50","T.",20
"11_ER_091116_MO6",477882.40295698,101357.39644642,"09/11/2016","08:10","GV",300
"11_ER_091116_MO8",477719.10066819,101898.242281336,"09/11/2016","08:20","L.",2
"11_ER_091116_MO9",477228.521751263,102318.741582263,"09/11/2016","09:05","L.",50
"16_DS_301116_MO2",468279.54646078,103393.89124735,"09/11/2016","10:20","DN",1000
"9_ER_301116_MO3",470732.70308657,100115.533319565,"30/11/16","10:35","OC",16
"9_ER_301116_MO4",470119.48270766,101543.475045141,"30/11/16","10:50","DN",350
"9_ER_301116_MO5",470189.565342355,101464.631505696,"30/11/16","10:55","OC",25
"9_ER_301116_MO6",469488.731726049,100246.943302361,"30/11/16","11:00","BA",36
"16_DS_161216_MO1",NA,NA,"16/12/2016","09:50","DB",56
"16_DS_161216_MO2",468276.53715399,104155.78272363,"16/12/2016","09:50","DB",7
"16_DS_161216_MO3",467679.729110121,103770.806702444,"16/12/2016","10:00","L.",22
"16_DS_161216_MO4",467451.958507444,103464.194750262,"16/12/2016","10:05","BW",80
"16_DS_161216_MO5",467478.239951802,103560.558670805,"16/12/2016","10:05","AV",65
"16_DS_161216_MO6",468279.54646078,103393.89124735,"16/12/2016","11:00","DN",3000
"16_DS_190117_MO1",467745.434919424,104618.37178497,"19/01/2017","12:30","DB",90
"16_DS_190117_MO2",468276.53715399,104155.78272363,"19/01/2017","12:42","DB",90
"16_DS_190117_MO3",467506.6530882,103011.14040931,"19/01/2017","13:20","DB",150
"16_DS_190117_MO4",467973.204506406,104644.652054853,"19/01/2017","13:25","DB",45
"16_DS_190117_MO5",469094.529583782,104189.109007874,"19/01/2017","13:45","DN",1000
"16_DS_190117_MO6",469199.653774033,104136.546436517,"19/01/2017","14:00","DN",120
"16_DS_190117_MO7",469508.7888797,103555.7724845,"19/01/2017","14:00","SU",28
"16_DS_190117_MO8",468998.162964754,103470.75942165,"19/01/2017","14:05","DN",700
"16_DS_190117_MO9",469190.893694717,104215.389753864,"19/01/2017","14:07","DN",350
"16_DS_190117_MO10",469217.174821654,104224.150023693,"19/01/2017","14:08","DN",400
"16_DS_190117_MO11",469278.497408839,104232.910166529,"19/01/2017","14:08","DN",300
"16_DS_190117_MO12",469508.7888797,103555.7724845,"19/01/2017","14:15","DN",100
"16_DS_190117_MO13",468700.88757511,103830.84924908,"19/01/2017","14:20","SU",80
"16_DS_190117_MO14",468253.528474495,102515.882327675,"19/01/2017","14:50","DN",400
"16_DS_190117_MO15",467789.233475028,103716.054024,"19/01/2017","14:50","DN",300
"16_DS_190117_MO16",469182.133202657,104180.348325343,"19/01/2017","14:51","DN",70
"16_DS_190117_MO17",469173.372901093,104197.869087225,"19/01/2017","14:52","DN",300
"16_DS_190117_MO18",469182.13298041,104119.025769877,"19/01/2017","14:52","DN",200
"16_DS_190117_MO19",468279.54646078,103393.89124735,"19/01/2017","15:01","DN",200
"16_DS_190117_MO20",468279.54646078,103393.89124735,"19/01/2017","15:05","DN",2500
"NH_JN_311116_MO1",472327.50852231,104166.97179855,"30/11/2016","10:45","RK",6
"NH_JN_311116_MO2",471627.28181909,103746.15072104,"30/11/2016","10:55","DN",1000
"NH_JN_311116_MO3",471627.28181909,103746.15072104,"30/11/2016","10:55","DN",500
"NH_JN_311116_MO4",NA,NA,"30/11/2016","11:55","DB",30
"NH_JN_311116_MO5",NA,NA,"30/11/2016","12:00","DB",25
"NH_JN_311116_MO6",NA,NA,"30/11/2016","12:05","DB",14
"7_ER_211016_MO1",474247.806871532,102132.594632451,"21/10/2016","07:40","DB",10
"7_ER_211016_MO1",474247.806871532,102132.594632451,"21/10/2016","07:40","WN",150
"7_ER_211016_MO2",474204.005363926,102220.198441721,"21/10/2016","07:45","DB",25
"7_ER_211016_MO3_A",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO3_B",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO3_C",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO4",NA,NA,"21/10/2016","08:05","DB",300
"7_ER_211016_MO5_A",NA,NA,"21/10/2016","08:05","WN",450
"7_ER_211016_MO5_A",NA,NA,"21/10/2016","08:05","DB",25
"7_ER_211016_MO6",NA,NA,"21/10/2016","08:10","DB",30
"7_ER_211016_MO9",NA,NA,"21/10/2016","08:30","DB",15
"7_ER_211016_M11",NA,NA,"21/10/2016","08:30","DB",8
"7_ER_211016_M12",NA,NA,"21/10/2016","16:25","DB",8
"7_ER_211016_M12",NA,NA,"21/10/2016","16:25","WN",12
"7_ER_211016_M13_A",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_A",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_M13_B",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_B",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_M13_C",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_C",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","WN",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","DB",50
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","WN",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","DB",50
"7_ER_211016_M18",NA,NA,"21/10/2016","10:15","DB",2
"7_ER_211016_M19",NA,NA,"21/10/2016","10:20","CU",15
"7_ER_211016_M20",NA,NA,"21/10/2016","10:25","DB",8
"7_ER_211016_M22",NA,NA,"21/10/2016","11:45","DB",6
"7_ER_211016_M23",NA,NA,"21/10/2016","12:00","DB",35
"7_ER_211016_M24",NA,NA,"21/10/2016","12:00","CU",6
"NH_JN_161216_MO3",NA,NA,"16/12/2016","10:16","DN",17
"NH_JN_161216_MO4",NA,NA,"16/12/2016","10:23","CU",3
"NH_JN_161216_MO5",NA,NA,"16/12/2016","10:29","DN",98
"NH_JN_161216_MO6",471361.56283807,103537.71325255,"16/12/2016","","GV",2
"NH_JN_161216_MO7",471361.56283807,103537.71325255,"16/12/2016","","BW",1
"NH_JN_161216_MO8",NA,NA,"16/12/2016","","OC",9
"NH_JN_161216_MO10",471627.28181909,103746.15072104,"16/12/2016","","DN",2
"NH_JN_161216_MO11",471627.28181909,103746.15072104,"16/12/2016","","OC",12
"NH_JN_161216_MO12",471258.15992527,104858.68836398,"16/12/2016","","DN",20
"NH_JN_161216_MO13",NA,NA,"16/12/2016","","WN",20
"NH_JN_161216_MO14",471258.15992527,104858.68836398,"16/12/2016","","OC",2
"NH_JN_161216_MO15",472327.50852231,104166.97179855,"16/12/2016","","DN",23
"NH_JN_161216_MO16",472327.50852231,104166.97179855,"16/12/2016","","GV",45
"NH_JN_161216_MO17",NA,NA,"16/12/2016","","DN",120
"NH_JN_161216_MO18",472327.50852231,104166.97179855,"16/12/2016","","CU",1
"NH_JN_161216_MO19",NA,NA,"16/12/2016","","DB",25
"NH_JN_161216_MO21",472327.50852231,104166.97179855,"16/12/2016","","DN",180
"NH_JN_161216_MO22",472327.50852231,104166.97179855,"16/12/2016","","DN",155
"NH_JN_161216_MO23",NA,NA,"16/12/2016","","GV",1
"NH_JN_161216_MO24",NA,NA,"16/12/2016","","RK",40
"NH_JN_161216_MO25",471627.28181909,103746.15072104,"16/12/2016","","DN",1700
"NH_JN_161216_MO26",472327.50852231,104166.97179855,"16/12/2016","","DN",350
"NH_JN_161216_MO27",472327.50852231,104166.97179855,"16/12/2016","","OC",7
"NH_JN_161216_MO29",472327.50852231,104166.97179855,"16/12/2016","","CU",6
"NH_JN_211116_MO1",NA,NA,"21/12/2016","13:20","DB",2
"NH_JN_211116_MO2",NA,NA,"21/12/2016","13:20","DB",4
"NH_JN_211116_MO3",NA,NA,"21/12/2016","13:33","DB",53
"NH_JN_211116_MO4",471894.591933223,103950.093142225,"21/12/2016","13:45","DB",13
"NH_JN_211116_MO5",NA,NA,"21/12/2016","13:47","DB",7
"NH_JN_211116_MO6",471865.797989924,103969.2892552,"21/12/2016","14:15","DB",3
"NH_JN_211116_MO7",NA,NA,"21/12/2016","15:10","DN",29
"NH_JN_211116_MO8",NA,NA,"21/12/2016","15:11","DN",24
"NH_JN_211116_MO9",NA,NA,"21/12/2016","15:11","RK",3
"NH_JN_211116_MO10",471627.28181909,103746.15072104,"21/12/2016","15:13","DB",2
"NH_JN_211116_MO11",470128.559942522,104170.853642253,"21/12/2016","15:22","DN",70
"NH_JN_211116_MO12",470118.961416395,104026.883612447,"21/12/2016","15:22","RK",12
"NH_JN_211116_MO13",470186.147724808,104103.667403399,"21/12/2016","15:25","DN",17
"NH_JN_211116_MO14",471627.28181909,103746.15072104,"21/12/2016","","CU",9
"NH_JN_211116_MO15",471627.28181909,103746.15072104,"21/12/2016","","RK",19
"NH_JN_190117_MO1",471627.28181909,103746.15072104,"19/01/17","13:10","DN",3
"NH_JN_190117_MO2",472297.70957506,104353.207861582,"19/01/17","14:30","DN",60
"NH_JN_190117_MO3",471627.28181909,103746.15072104,"19/01/17","14:50","DN",60
"NH_JN_190117_MO4",471654.641860618,103959.692016295,"19/01/17","14:50","DN",70
"NH_JN_190117_MO1",471361.56283807,103537.71325255,"19/01/17","10:16","DN",70
"NH_JN_190117_MO2",472327.50852231,104166.97179855,"19/01/17","11:02","RK",1
"NH_JN_190117_MO3",471865.797989924,103969.2892552,"19/01/17","11:15","DN",7
"NH_JN_190117_MO4",471654.641860618,103959.692016295,"19/01/17","11:37","DN",30
"NH_JN_190117_MO5",471980.974041471,103969.288837704,"19/01/17","11:37","DN",52
"NH_JN_190117_MO6",471923.385998301,103964.490044304,"19/01/17","11:37","RK",3
"NH_JN_190117_MO7",470397.303854209,104113.264642415,"19/01/17","12:20","DN",1000
"NH_JN_190117_MO8",470205.343942142,104161.255359662,"19/01/17","12:25","DN",70
"NH_JN_190117_MO9",471261.126398313,104708.337778368,"19/01/17","12:26","DN",100
"NH_JN_190117_MO10",472614.444412776,104545.166799382,"19/01/17","12:16","DN",60
"NH_JN_190117_MO11",472508.866574311,104602.755207936,"19/01/17","12:36","DN",60
"NH_JN_140217_MO1",NA,NA,"14/02/2017","09:36","DB",7
"NH_JN_140217_MO2",470148.51647097,104094.00639233,"14/02/2017","09:57","DB",7
"NH_JN_140217_MO3",471258.15992527,104858.68836398,"14/02/2017","10:27","DB",4
"NH_JN_140217_MO4",471258.15992527,104858.68836398,"14/02/2017","10:33","DB",4
"NH_JN_140217_MO5",471361.56283807,103537.71325255,"14/02/2017","10:40","DB",20
"NH_JN_140217_MO6",471361.56283807,103537.71325255,"14/02/2017","10:40","DB",28
"NH_JN_140217_MO7",470176.549685718,104094.069433877,"14/02/2017","11:30","RK",18
"NH_JN_140217_MO8",470148.51647097,104094.00639233,"14/02/2017","11:59","DB",5
"NH_JN_140217_MO9",471258.15992527,104858.68836398,"14/02/2017","12:06","OC",8
"NH_JN_140217_MO10",471258.15992527,104858.68836398,"14/02/2017","12:13","OC",3
"NH_JN_140217_MO11",471258.15992527,104858.68836398,"14/02/2017","12:13","TT",3
"NH_JN_140217_MO12",471030.774990977,104900.298699464,"14/02/2017","12:30","DB",30
"NH_JN_140217_MO13",469900.68411626,103188.19509045,"14/02/2017","12:31","DN",1000
"NH_JN_140217_MO14",471258.15992527,104858.68836398,"14/02/2017","12:35","DN",400
"NH_JN_140217_MO15",471258.15992527,104858.68836398,"14/02/2017","12:42","DN",350
"16_DS_140217_MO1",468906.17834589,103253.940719604,"14/02/2017","11:10","SU",11
"16_DS_140217_MO2",469037.586933072,104112.456019889,"14/02/2017","11:20","DN",400
"16_DS_140217_MO3",467506.6530882,103011.14040931,"14/02/2017","11:20","DB",135
"16_DS_140217_MO4",468078.321847825,102702.040720083,"14/02/2017","11:24","DN",2500
"16_DS_140217_MO5",468700.88757511,103830.84924908,"14/02/2017","11:25","PT",38
"16_DS_140217_MO6",468279.54646078,103393.89124735,"14/02/2017","11:25","CU",14
"16_DS_140217_MO7",468276.53715399,104155.78272363,"14/02/2017","11:40","DB",200
"16_DS_140217_MO8",467679.730094183,104042.378019609,"14/02/2017","11:40","L.",46
"16_DS_140217_MO9",467727.912356,104112.460765592,"14/02/2017","11:50","DN",200
"16_DS_140217_MO10",468279.54646078,103393.89124735,"14/02/2017","11:52","DN",1800
"16_DS_140217_MO11",468279.54646078,103393.89124735,"14/02/2017","11:53","DN",400
"16_DS_140217_MO12",468279.54646078,103393.89124735,"14/02/2017","11:53","DN",1300
"16_DS_140217_MO13",468279.54646078,103393.89124735,"14/02/2017","11:55","DN",2000
"16_DS_140217_MO14",468279.54646078,103393.89124735,"14/02/2017","11:57","DN",300
"16_DS_140217_MO15",468279.54646078,103393.89124735,"14/02/2017","12:05","DN",2600
"16_DS_140217_MO16",468279.54646078,103393.89124735,"14/02/2017","12:15","DN",1400
"16_DS_140217_MO17",468276.53715399,104155.78272363,"14/02/2017","12:25","DB",72
"16_DS_140217_MO18",467679.730300522,104099.320392567,"14/02/2017","12:30","AV",46
"16_DS_140317_MO1",467734.140152257,104036.35507148,"14/03/2017","08:50","DB",27
"16_DS_140317_MO2",468700.88757511,103830.84924908,"14/03/2017","09:15","SU",23
"16_DS_140317_MO3",468700.88757511,103830.84924908,"14/03/2017","09:15","SV",12
"16_DS_140317_MO4",468152.444060454,103063.953033297,"14/03/2017","09:50","DN",55
"16_DS_140317_MO5",468279.54646078,103393.89124735,"14/03/2017","09:55","DN",30
"16_DS_140317_MO6",468279.54646078,103393.89124735,"14/03/2017","10:30","CU",4
"16_DS_140317_MO7",468279.54646078,103393.89124735,"14/03/2017","10:43","DB",22
"16_DS_140317_MO8",468279.54646078,103393.89124735,"14/03/2017","10:43","SU",9
"16_DS_140317_MO9",468700.88757511,103830.84924908,"14/03/2017","10:47","WN",300
"16_DS_140317_MO10",468700.88757511,103830.84924908,"14/03/2017","10:47","DB",65
"16_DS_140317_MO11",468279.54646078,103393.89124735,"14/03/2017","10:50","CU",1
"16_DS_270317_MO1",NA,NA,"27/03/2017","08:30","MU",8
"16_DS_270317_MO3",468279.54646078,103393.89124735,"27/03/2017","09:35","CU",1
"16_DS_270317_MO4",NA,NA,"27/03/2017","09:50","DB",55
"16_DS_270317_MO5",NA,NA,"27/03/2017","09:50","DB",12
"16_DS_270317_MO6",468279.54646078,103393.89124735,"27/03/2017","09:50","CU",1
"16_DS_270317_MO7",468279.54646078,103393.89124735,"27/03/2017","10:10","CU",2
"6_DS_211016_MO2",NA,NA,"21/10/2016",NA,"T",1
"6_DS_211016_MO3",NA,NA,"21/10/2016",NA,"DB",20
"6_DS_211016_MO4",NA,NA,"21/10/2016",NA,"DB",130
"6_DS_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"6_DS_211016_MO6",NA,NA,"21/10/2016",NA,"BA",9
"6_DS_211016_MO8",NA,NA,"21/10/2016",NA,"DB",165
"6_DS_211016_MO9",NA,NA,"21/10/2016",NA,"H.",2
"6_DS_211016_MO10",NA,NA,"21/10/2016",NA,"TE",1
"6_DS_211016_MO11",NA,NA,"21/10/2016",NA,"GK",1
"6_DS_211016_MO12",NA,NA,"21/10/2016",NA,"DB",18
"6_DS_211016_MO13",473656.489774454,104213.183476013,"21/10/2016",NA,"L",12
"6_DS_211016_MO14",NA,NA,"21/10/2016",NA,"",NA
"6_DS_211016_MO15",NA,NA,"21/10/2016",NA,"",NA
"13_CL_211016_MO1",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO2",NA,NA,"21/10/2016",NA,"DB",9
"13_CL_211016_MO3",471174.744411803,104722.735097943,"21/10/2016",NA,"DB",30
"13_CL_211016_MO4",NA,NA,"21/10/2016",NA,"DB",6
"13_CL_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO6",NA,NA,"21/10/2016",NA,"DB",12
"13_CL_211016_MO7",470205.337245766,102313.639531371,"21/10/2016",NA,"DB",70
"13_CL_211016_MO8",470330.111127669,102265.649057724,"21/10/2016",NA,"DB",40
"13_CL_211016_MO9",470502.875135385,102246.452423064,"21/10/2016",NA,"DN",120
"13_CL_211016_MO10",471117.156177239,104665.147280853,"21/10/2016",NA,"DB",390
"10_LM_311016_MO3",467580.272291445,99338.2677091587,"31/10/2016","13:54","DB",15
"10_LM_311016_MO4",NA,NA,"31/10/2016","14:28","TT",60
"10_LM_311016_MO5",467897.00935359,100144.498922875,"31/10/2016","14:34","DB",2
"10_LM_311016_MO6",NA,NA,"31/10/2016","14:35","TT",60
"10_LM_311016_MO9",468079.369244676,99539.8239916247,"31/10/2016","15:20","DB",4
"10_LM_311016_MO10",467858.617997044,100326.861143612,"31/10/2016","15:32","DB",2
"10_LM_311016_MO11",467513.08615711,99309.4739396089,"31/10/2016","15:41","DB",7
"10_LM_311016_MO12",467609.066095721,99280.6795790941,"31/10/2016","15:45","DB",3
"10_LM_311016_MO13",NA,NA,"31/10/2016","15:47","TE",1
"10_LM_311016_MO14",467829.823671234,100240.479209225,"31/10/2016","15:49","DB",2
"10_LM_311016_MO15",467589.870400036,99367.061687282,"31/10/2016","15:56","DB",12
"10_LM_311016_MO16",NA,NA,"31/10/2016","16:01","DB",31
"11_ER_091116_MO2",NA,NA,"09/11/2016","07:30","DN",50
"11_ER_091116_MO3",474968.347475923,102292.468682352,"09/11/2016","07:45","DB",12
