"Unique.Code","Easting","Northing","Date","Time","Species","Count"
"11_ER_091116_MO4",478411.169188037,101810.636121155,"09/11/2016","07:45","DB",30
"11_ER_091116_MO5",477132.157291076,102196.096821139,"09/11/2016","07:50","T.",20
"11_ER_091116_MO6",477675.30770811,104342.384286993,"09/11/2016","08:10","GV",300
"11_ER_091116_MO8",476492.649531511,101889.486363631,"09/11/2016","08:20","L.",2
"11_ER_091116_MO9",476010.830661592,102222.381982277,"09/11/2016","09:05","L.",50
"16_DS_301116_MO2",469508.7888797,103555.7724845,"09/11/2016","10:20","DN",1000
"9_ER_301116_MO3",469422.37880961,99827.33639172,"30/11/16","10:35","OC",16
"9_ER_301116_MO4",469112.2448577,100026.72919014,"30/11/16","10:50","DN",350
"9_ER_301116_MO5",469112.2448577,100026.72919014,"30/11/16","10:55","OC",25
"9_ER_301116_MO6",469900.68411626,103188.19509045,"30/11/16","11:00","BA",36
"16_DS_161216_MO1",467792.93977895,104694.73581295,"16/12/2016","09:50","DB",56
"16_DS_161216_MO2",467732.294443251,104638.082653994,"16/12/2016","09:50","DB",7
"16_DS_161216_MO3",468276.53715399,104155.78272363,"16/12/2016","10:00","L.",22
"16_DS_161216_MO4",468276.53715399,104155.78272363,"16/12/2016","10:05","BW",80
"16_DS_161216_MO5",468276.53715399,104155.78272363,"16/12/2016","10:05","AV",65
"16_DS_161216_MO6",469694.611137697,103236.417132459,"16/12/2016","11:00","DN",3000
"16_DS_190117_MO1",468276.53715399,104155.78272363,"19/01/2017","12:30","DB",90
"16_DS_190117_MO2",467792.93977895,104694.73581295,"19/01/2017","12:42","DB",90
"16_DS_190117_MO3",468276.53715399,104155.78272363,"19/01/2017","13:20","DB",150
"16_DS_190117_MO4",467506.6530882,103011.14040931,"19/01/2017","13:25","DB",45
"16_DS_190117_MO5",468139.646712566,103339.357056443,"19/01/2017","13:45","DN",1000
"16_DS_190117_MO6",468279.54646078,103393.89124735,"19/01/2017","14:00","DN",120
"16_DS_190117_MO7",468700.88757511,103830.84924908,"19/01/2017","14:00","SU",28
"16_DS_190117_MO8",468279.54646078,103393.89124735,"19/01/2017","14:05","DN",700
"16_DS_190117_MO9",469508.7888797,103555.7724845,"19/01/2017","14:07","DN",350
"16_DS_190117_MO10",469508.7888797,103555.7724845,"19/01/2017","14:08","DN",400
"16_DS_190117_MO11",468279.54646078,103393.89124735,"19/01/2017","14:08","DN",300
"16_DS_190117_MO12",468279.54646078,103393.89124735,"19/01/2017","14:15","DN",100
"16_DS_190117_MO13",469812.876597779,103383.152818682,"19/01/2017","14:20","SU",80
"16_DS_190117_MO14",468279.54646078,103393.89124735,"19/01/2017","14:50","DN",400
"16_DS_190117_MO15",468279.54646078,103393.89124735,"19/01/2017","14:50","DN",300
"16_DS_190117_MO16",468279.54646078,103393.89124735,"19/01/2017","14:51","DN",70
"16_DS_190117_MO17",468279.54646078,103393.89124735,"19/01/2017","14:52","DN",300
"16_DS_190117_MO18",468279.54646078,103393.89124735,"19/01/2017","14:52","DN",200
"16_DS_190117_MO19",469508.7888797,103555.7724845,"19/01/2017","15:01","DN",200
"16_DS_190117_MO20",469508.7888797,103555.7724845,"19/01/2017","15:05","DN",2500
"NH_JN_311116_MO1",NA,NA,"30/11/2016","10:45","RK",6
"NH_JN_311116_MO2",471361.56283807,103537.71325255,"30/11/2016","10:55","DN",1000
"NH_JN_311116_MO3",471361.56283807,103537.71325255,"30/11/2016","10:55","DN",500
"NH_JN_311116_MO4",467792.93977895,104694.73581295,"30/11/2016","11:55","DB",30
"NH_JN_311116_MO5",467792.93977895,104694.73581295,"30/11/2016","12:00","DB",25
"NH_JN_311116_MO6",467792.93977895,104694.73581295,"30/11/2016","12:05","DB",14
"7_ER_211016_MO1",473792.266809463,101834.743872186,"21/10/2016","07:40","DB",10
"7_ER_211016_MO1",473792.266809463,101834.743872186,"21/10/2016","07:40","WN",150
"7_ER_211016_MO2",473722.184079669,101887.306316519,"21/10/2016","07:45","DB",25
"7_ER_211016_MO3_A",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO3_B",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO3_C",NA,NA,"21/10/2016","08:00","DB",100
"7_ER_211016_MO4",NA,NA,"21/10/2016","08:05","DB",300
"7_ER_211016_MO5_A",NA,NA,"21/10/2016","08:05","WN",450
"7_ER_211016_MO5_A",NA,NA,"21/10/2016","08:05","DB",25
"7_ER_211016_MO6",NA,NA,"21/10/2016","08:10","DB",30
"7_ER_211016_MO9",NA,NA,"21/10/2016","08:30","DB",15
"7_ER_211016_M11",NA,NA,"21/10/2016","08:30","DB",8
"7_ER_211016_M12",NA,NA,"21/10/2016","16:25","DB",8
"7_ER_211016_M12",NA,NA,"21/10/2016","16:25","WN",12
"7_ER_211016_M13_A",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_A",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_M13_B",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_B",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_M13_C",NA,NA,"21/10/2016","09:00","DB",3
"7_ER_211016_M13_C",NA,NA,"21/10/2016","09:05","DB",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","WN",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","DB",50
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","WN",100
"7_ER_211016_MO15",474931.124016957,104524.171813844,"21/10/2016","09:50","DB",50
"7_ER_211016_M18",NA,NA,"21/10/2016","10:15","DB",2
"7_ER_211016_M19",NA,NA,"21/10/2016","10:20","CU",15
"7_ER_211016_M20",NA,NA,"21/10/2016","10:25","DB",8
"7_ER_211016_M22",NA,NA,"21/10/2016","11:45","DB",6
"7_ER_211016_M23",NA,NA,"21/10/2016","12:00","DB",35
"7_ER_211016_M24",NA,NA,"21/10/2016","12:00","CU",6
"NH_JN_161216_MO3",472327.50852231,104166.97179855,"16/12/2016","10:16","DN",17
"NH_JN_161216_MO4",471361.56283807,103537.71325255,"16/12/2016","10:23","CU",3
"NH_JN_161216_MO5",472327.50852231,104166.97179855,"16/12/2016","10:29","DN",98
"NH_JN_161216_MO6",472327.50852231,104166.97179855,"16/12/2016","","GV",2
"NH_JN_161216_MO7",472327.50852231,104166.97179855,"16/12/2016","","BW",1
"NH_JN_161216_MO8",471361.56283807,103537.71325255,"16/12/2016","","OC",9
"NH_JN_161216_MO10",472327.50852231,104166.97179855,"16/12/2016","","DN",2
"NH_JN_161216_MO11",NA,NA,"16/12/2016","","OC",12
"NH_JN_161216_MO12",471361.56283807,103537.71325255,"16/12/2016","","DN",20
"NH_JN_161216_MO13",471361.56283807,103537.71325255,"16/12/2016","","WN",20
"NH_JN_161216_MO14",471361.56283807,103537.71325255,"16/12/2016","","OC",2
"NH_JN_161216_MO15",471627.28181909,103746.15072104,"16/12/2016","","DN",23
"NH_JN_161216_MO16",470148.51647097,104094.00639233,"16/12/2016","","GV",45
"NH_JN_161216_MO17",471627.28181909,103746.15072104,"16/12/2016","","DN",120
"NH_JN_161216_MO18",470148.51647097,104094.00639233,"16/12/2016","","CU",1
"NH_JN_161216_MO19",471627.28181909,103746.15072104,"16/12/2016","","DB",25
"NH_JN_161216_MO21",471627.28181909,103746.15072104,"16/12/2016","","DN",180
"NH_JN_161216_MO22",471361.56283807,103537.71325255,"16/12/2016","","DN",155
"NH_JN_161216_MO23",471627.28181909,103746.15072104,"16/12/2016","","GV",1
"NH_JN_161216_MO24",471361.56283807,103537.71325255,"16/12/2016","","RK",40
"NH_JN_161216_MO25",471361.56283807,103537.71325255,"16/12/2016","","DN",1700
"NH_JN_161216_MO26",471627.28181909,103746.15072104,"16/12/2016","","DN",350
"NH_JN_161216_MO27",470148.51647097,104094.00639233,"16/12/2016","","OC",7
"NH_JN_161216_MO29",471627.28181909,103746.15072104,"16/12/2016","","CU",6
"NH_JN_211116_MO1",470148.51647097,104094.00639233,"21/12/2016","13:20","DB",2
"NH_JN_211116_MO2",471361.56283807,103537.71325255,"21/12/2016","13:20","DB",4
"NH_JN_211116_MO3",471361.56283807,103537.71325255,"21/12/2016","13:33","DB",53
"NH_JN_211116_MO4",472336.10472408,105217.028109631,"21/12/2016","13:45","DB",13
"NH_JN_211116_MO5",NA,NA,"21/12/2016","13:47","DB",7
"NH_JN_211116_MO6",472268.918659188,105207.430348901,"21/12/2016","14:15","DB",3
"NH_JN_211116_MO7",472327.50852231,104166.97179855,"21/12/2016","15:10","DN",29
"NH_JN_211116_MO8",472327.50852231,104166.97179855,"21/12/2016","15:11","DN",24
"NH_JN_211116_MO9",472327.50852231,104166.97179855,"21/12/2016","15:11","RK",3
"NH_JN_211116_MO10",472480.074718961,105197.831579079,"21/12/2016","15:13","DB",2
"NH_JN_211116_MO11",473027.161103136,105236.221612824,"21/12/2016","15:22","DN",70
"NH_JN_211116_MO12",472345.703180774,105341.802130792,"21/12/2016","15:22","RK",12
"NH_JN_211116_MO13",472672.03550094,105389.790969207,"21/12/2016","15:25","DN",17
"NH_JN_211116_MO14",470148.51647097,104094.00639233,"21/12/2016","","CU",9
"NH_JN_211116_MO15",472327.50852231,104166.97179855,"21/12/2016","","RK",19
"NH_JN_190117_MO1",472327.50852231,104166.97179855,"19/01/17","13:10","DN",3
"NH_JN_190117_MO2",472327.50852231,104166.97179855,"19/01/17","14:30","DN",60
"NH_JN_190117_MO3",472327.50852231,104166.97179855,"19/01/17","14:50","DN",60
"NH_JN_190117_MO4",472327.50852231,104166.97179855,"19/01/17","14:50","DN",70
"NH_JN_190117_MO1",471361.56283807,103537.71325255,"19/01/17","10:16","DN",70
"NH_JN_190117_MO2",471865.798233485,104036.475285306,"19/01/17","11:02","RK",1
"NH_JN_190117_MO3",472327.50852231,104166.97179855,"19/01/17","11:15","DN",7
"NH_JN_190117_MO4",472327.50852231,104166.97179855,"19/01/17","11:37","DN",30
"NH_JN_190117_MO5",472327.50852231,104166.97179855,"19/01/17","11:37","DN",52
"NH_JN_190117_MO6",472327.50852231,104166.97179855,"19/01/17","11:37","RK",3
"NH_JN_190117_MO7",471627.28181909,103746.15072104,"19/01/17","12:20","DN",1000
"NH_JN_190117_MO8",471627.28181909,103746.15072104,"19/01/17","12:25","DN",70
"NH_JN_190117_MO9",471627.28181909,103746.15072104,"19/01/17","12:26","DN",100
"NH_JN_190117_MO10",471627.28181909,103746.15072104,"19/01/17","12:16","DN",60
"NH_JN_190117_MO11",471627.28181909,103746.15072104,"19/01/17","12:36","DN",60
"NH_JN_140217_MO1",NA,NA,"14/02/2017","09:36","DB",7
"NH_JN_140217_MO2",471258.15992527,104858.68836398,"14/02/2017","09:57","DB",7
"NH_JN_140217_MO3",471627.28181909,103746.15072104,"14/02/2017","10:27","DB",4
"NH_JN_140217_MO4",471627.28181909,103746.15072104,"14/02/2017","10:33","DB",4
"NH_JN_140217_MO5",471705.034088462,104705.936668173,"14/02/2017","10:40","DB",20
"NH_JN_140217_MO6",471361.56283807,103537.71325255,"14/02/2017","10:40","DB",28
"NH_JN_140217_MO7",472327.50852231,104166.97179855,"14/02/2017","11:30","RK",18
"NH_JN_140217_MO8",471361.56283807,103537.71325255,"14/02/2017","11:59","DB",5
"NH_JN_140217_MO9",471361.56283807,103537.71325255,"14/02/2017","12:06","OC",8
"NH_JN_140217_MO10",471361.56283807,103537.71325255,"14/02/2017","12:13","OC",3
"NH_JN_140217_MO11",471361.56283807,103537.71325255,"14/02/2017","12:13","TT",3
"NH_JN_140217_MO12",471361.56283807,103537.71325255,"14/02/2017","12:30","DB",30
"NH_JN_140217_MO13",471361.56283807,103537.71325255,"14/02/2017","12:31","DN",1000
"NH_JN_140217_MO14",471361.56283807,103537.71325255,"14/02/2017","12:35","DN",400
"NH_JN_140217_MO15",471361.56283807,103537.71325255,"14/02/2017","12:42","DN",350
"16_DS_140217_MO1",468700.88757511,103830.84924908,"14/02/2017","11:10","SU",11
"16_DS_140217_MO2",468279.54646078,103393.89124735,"14/02/2017","11:20","DN",400
"16_DS_140217_MO3",468276.53715399,104155.78272363,"14/02/2017","11:20","DB",135
"16_DS_140217_MO4",468073.945030093,103630.639432992,"14/02/2017","11:24","DN",2500
"16_DS_140217_MO5",468906.178742721,103363.445282914,"14/02/2017","11:25","PT",38
"16_DS_140217_MO6",469508.7888797,103555.7724845,"14/02/2017","11:25","CU",14
"16_DS_140217_MO7",467506.6530882,103011.14040931,"14/02/2017","11:40","DB",200
"16_DS_140217_MO8",468276.53715399,104155.78272363,"14/02/2017","11:40","L.",46
"16_DS_140217_MO9",467925.01901448,103683.202163006,"14/02/2017","11:50","DN",200
"16_DS_140217_MO10",469508.7888797,103555.7724845,"14/02/2017","11:52","DN",1800
"16_DS_140217_MO11",469508.7888797,103555.7724845,"14/02/2017","11:53","DN",400
"16_DS_140217_MO12",469508.7888797,103555.7724845,"14/02/2017","11:53","DN",1300
"16_DS_140217_MO13",469508.7888797,103555.7724845,"14/02/2017","11:55","DN",2000
"16_DS_140217_MO14",469508.7888797,103555.7724845,"14/02/2017","11:57","DN",300
"16_DS_140217_MO15",469508.7888797,103555.7724845,"14/02/2017","12:05","DN",2600
"16_DS_140217_MO16",469508.7888797,103555.7724845,"14/02/2017","12:15","DN",1400
"16_DS_140217_MO17",467792.93977895,104694.73581295,"14/02/2017","12:25","DB",72
"16_DS_140217_MO18",468276.53715399,104155.78272363,"14/02/2017","12:30","AV",46
"16_DS_140317_MO1",468276.53715399,104155.78272363,"14/03/2017","08:50","DB",27
"16_DS_140317_MO2",469166.458030493,103537.009072611,"14/03/2017","09:15","SU",23
"16_DS_140317_MO3",469508.7888797,103555.7724845,"14/03/2017","09:15","SV",12
"16_DS_140317_MO4",468279.54646078,103393.89124735,"14/03/2017","09:50","DN",55
"16_DS_140317_MO5",468831.375273318,103869.904159351,"14/03/2017","09:55","DN",30
"16_DS_140317_MO6",469508.7888797,103555.7724845,"14/03/2017","10:30","CU",4
"16_DS_140317_MO7",468700.88757511,103830.84924908,"14/03/2017","10:43","DB",22
"16_DS_140317_MO8",468700.88757511,103830.84924908,"14/03/2017","10:43","SU",9
"16_DS_140317_MO9",469142.366963082,103519.488429777,"14/03/2017","10:47","WN",300
"16_DS_140317_MO10",469151.127526566,103574.240679691,"14/03/2017","10:47","DB",65
"16_DS_140317_MO11",469508.7888797,103555.7724845,"14/03/2017","10:50","CU",1
"16_DS_270317_MO1",469508.7888797,103555.7724845,"27/03/2017","08:30","MU",8
"16_DS_270317_MO3",469508.7888797,103555.7724845,"27/03/2017","09:35","CU",1
"16_DS_270317_MO4",468276.53715399,104155.78272363,"27/03/2017","09:50","DB",55
"16_DS_270317_MO5",468700.88757511,103830.84924908,"27/03/2017","09:50","DB",12
"16_DS_270317_MO6",469508.7888797,103555.7724845,"27/03/2017","09:50","CU",1
"16_DS_270317_MO7",469508.7888797,103555.7724845,"27/03/2017","10:10","CU",2
"6_DS_211016_MO2",NA,NA,"21/10/2016",NA,"T",1
"6_DS_211016_MO3",NA,NA,"21/10/2016",NA,"DB",20
"6_DS_211016_MO4",NA,NA,"21/10/2016",NA,"DB",130
"6_DS_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"6_DS_211016_MO6",NA,NA,"21/10/2016",NA,"BA",9
"6_DS_211016_MO8",NA,NA,"21/10/2016",NA,"DB",165
"6_DS_211016_MO9",NA,NA,"21/10/2016",NA,"H.",2
"6_DS_211016_MO10",NA,NA,"21/10/2016",NA,"TE",1
"6_DS_211016_MO11",NA,NA,"21/10/2016",NA,"GK",1
"6_DS_211016_MO12",NA,NA,"21/10/2016",NA,"DB",18
"6_DS_211016_MO13",473200.950474138,104125.581476988,"21/10/2016",NA,"L",12
"6_DS_211016_MO14",NA,NA,"21/10/2016",NA,"",NA
"6_DS_211016_MO15",NA,NA,"21/10/2016",NA,"",NA
"13_CL_211016_MO1",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO2",NA,NA,"21/10/2016",NA,"DB",9
"13_CL_211016_MO3",471683.438709274,104741.929262597,"21/10/2016",NA,"DB",30
"13_CL_211016_MO4",NA,NA,"21/10/2016",NA,"DB",6
"13_CL_211016_MO5",NA,NA,"21/10/2016",NA,"DB",10
"13_CL_211016_MO6",470753.78717115,105416.39866674,"21/10/2016",NA,"DB",12
"13_CL_211016_MO7",471597.056600991,104722.733567119,"21/10/2016",NA,"DB",70
"13_CL_211016_MO8",470848.412926644,104905.098362633,"21/10/2016",NA,"DB",40
"13_CL_211016_MO9",471625.850544298,104703.537454133,"21/10/2016",NA,"DN",120
"13_CL_211016_MO10",470753.78717115,105416.39866674,"21/10/2016",NA,"DB",390
"10_LM_311016_MO3",467897.008936356,100029.322871301,"31/10/2016","13:54","DB",15
"10_LM_311016_MO4",NA,NA,"31/10/2016","14:28","TT",60
"10_LM_311016_MO5",469192.741184793,100490.022383719,"31/10/2016","14:34","DB",2
"10_LM_311016_MO6",NA,NA,"31/10/2016","14:35","TT",60
"10_LM_311016_MO9",470114.150048697,100614.793101264,"31/10/2016","15:20","DB",4
"10_LM_311016_MO10",470363.69843843,100691.576231432,"31/10/2016","15:32","DB",2
"10_LM_311016_MO11",470123.74767042,100509.21501926,"31/10/2016","15:41","DB",7
"10_LM_311016_MO12",470238.923652318,100490.018593366,"31/10/2016","15:45","DB",3
"10_LM_311016_MO13",NA,NA,"31/10/2016","15:47","TE",1
"10_LM_311016_MO14",470296.512025837,100585.998427641,"31/10/2016","15:49","DB",2
"10_LM_311016_MO15",470133.345431258,100442.028954431,"31/10/2016","15:56","DB",12
"10_LM_311016_MO16",NA,NA,"31/10/2016","16:01","DB",31
