"ID","Longitude","Latitude","Time","Habitat","Crop protection","Disturbance","Comments","Recorder","Date"
43776,"50.85388N","0.98369W","9:35","Amenity Grassland","None","None","","Joshua Nightingale","20/03/2017"
43774,"50.84757N","1.01459W","9:25","","","","","Joshua Nightingale","20/03/2017"
43771,"50.84101N","1.03013W","9:24","Playing field","","","","Joshua Nightingale","20/03/2017"
43740,"50.84091N","0.98944W","12:45","Permanent pasture","None","None","","Joshua Nightingale","14/03/2017"
43739,"50.8389N","0.98992W","12:30","Permanent pasture","None","None","","Joshua Nightingale","14/03/2017"
43738,"50.84088N","0.99249W","12:30","Permanent pasture","None","None","","Joshua Nightingale","14/03/2017"
43737,"50.84088N","0.99584W","12:16","Amenity Grassland","None","None","","Joshua Nightingale","14/03/2017"
43736,"50.8466N","1.00313W","11:43","Amenity Grassland","None","None","","Joshua Nightingale","14/03/2017"
43713,"50.79404N","1.01044W","11:45","Sand/shingle bank","None","Canoe/kayak/paddleboard","Disturbed Brent geese retreated to adjacent paddock, other waders flew off to unknown destination.  Disturbance caused by rowing boat very close to shore.","Peter May","12/03/2017"
43669,"50.84048N","1.02962W","1pm-5pm","Ruderal/Scrubby Grassland","","","","Rachel Cook","04/03/2017"
43668,"50.84186N","1.02527W","1pm-5pm","Permanent pasture","","","","Rachel Cook","04/03/2017"
43667,"50.84074N","1.0204W","1pm-5pm","Saltmarsh","","","","Rachel Cook","04/03/2017"
43666,"50.8389N","1.02229W","1pm-5pm","Permanent pasture","","","","Rachel Cook","04/03/2017"
43569,"50.83913N","0.9577W","16:00","Saltmarsh","None","Dog-walker at least one dog off lead","There were no Brent Geese again off Conigar Point or in the Fields H28A or H28C today.","Malinda Griffin","28/02/2017"
43555,"50.779N","1.08774W","13:00","Amenity Grassland","None","None","","Joshua Nightingale","28/02/2017"
43554,"50.78437N","1.09641W","12:48","Amenity Grassland","","Dog-walker at least one dog off lead","","Joshua Nightingale","28/02/2017"
43546,"50.81364N","0.98195W","12:15","Ruderal/Scrubby Grassland","","","","Joshua Nightingale","28/02/2017"
43540,"50.82674N","0.98513W","11:31","Ruderal/Scrubby Grassland","None","None","","Joshua Nightingale","28/02/2017"
43527,50.80566,-0.97787,"16:29","Arable-emerging cereal crop","","","","Ed Rowsell","28/02/2017"
43436,"50.8375N","1.03632W","11:30-4pm","Permanent pasture","","","","Rachel Cook","13/02/2017"
43433,"50.84003N","1.03062W","11:30-4pm","Ruderal/Scrubby Grassland","","","","Rachel Cook","13/02/2017"
43432,"50.84283N","1.02456W","11:30-4pm","Ruderal/Scrubby Grassland","","","","Rachel Cook","13/02/2017"
43415,"50.80585N","0.9772W","13:00","Arable-emerging cereal crop","None","None","","Ed Rowsell","14/02/2017"
43414,"50.80824N","0.98699W","13:00","Arable-emerging cereal crop","None","None","","Ed Rowsell","14/02/2017"
43407,"50.83003N","0.97861W","13:05","Permanent pasture","None","None","","Joshua Nightingale","14/02/2017"
43402,"50.83172N","0.97311W","11:02","Permanent pasture","None","None","","Joshua Nightingale","14/02/2017"
43399,"50.82612N","0.98288W","10:32","Permanent pasture","None","None","","Joshua Nightingale","14/02/2017"
43398,"50.82681N","0.98578W","10:27","Ruderal/Scrubby Grassland","None","None","","Joshua Nightingale","14/02/2017"
43335,"50.80928N","0.98271W","13:48","","","","","Joshua Nightingale","08/02/2017"
43334,"50.80936N","0.98526W","13:48","","","","","Joshua Nightingale","08/02/2017"
43333,"50.80696N","0.98314W","13:48","","","","","Joshua Nightingale","08/02/2017"
43332,"50.80721N","0.98567W","13:48","","","","","Joshua Nightingale","08/02/2017"
43330,"50.81375N","0.98126W","13:50","","","","","Joshua Nightingale","08/02/2017"
43329,"50.81672N","0.96681W","13:38","","","","","Joshua Nightingale","08/02/2017"
43328,"50.81871N","0.96377W","13:37","","","","","Joshua Nightingale","08/02/2017"
43327,"50.81904N","0.96055W","13:37","","","","","Joshua Nightingale","08/02/2017"
43326,"50.82455N","0.96599W","13:36","Arable-Stubble","None","None","","Joshua Nightingale","08/02/2017"
43322,"50.85346N","1.00111W","09:27","Amenity Grassland","None","Dog-walker at least one dog off lead","","Joshua Nightingale","08/02/2017"
43321,"50.84698N","1.01516W","09:26","","","","","Joshua Nightingale","08/02/2017"
43320,"50.84611N","1.01922W","09:26","","","","","Joshua Nightingale","08/02/2017"
43319,"50.84485N","1.02333W","09:26","","","","","Joshua Nightingale","08/02/2017"
43318,"50.84147N","1.02964W","09:25","Playing field","None","Farm/grounds maintenance","Man either mowing grass or painting lines on playing field.","Joshua Nightingale","08/02/2017"
43315,"50.88711N","1.37403W","15:53","Amenity Grassland","None","None","","Joshua Nightingale","07/02/2017"
43220,"50.82855N","0.97313W","12:01","Arable-Stubble","None","None","","Joshua Nightingale","31/01/2017"
43219,"50.82978N","0.97346W","12:00","Arable-Stubble","None","None","","Joshua Nightingale","31/01/2017"
43218,"50.82999N","0.97839W","11:59","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43217,"50.82923N","0.97793W","11:58","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43216,"50.82853N","0.97684W","11:57","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43215,"50.82921N","0.97665W","11:55","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43214,"50.82976N","0.97675W","11:55","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43213,"50.83049N","0.9767W","11:55","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43209,"50.83156N","0.97317W","11:10","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43205,"50.82655N","0.98443W","10:30","Ruderal/Scrubby Grassland","None","None","","Joshua Nightingale","31/01/2017"
43204,"50.82605N","0.98292W","10:35","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43199,"50.82994N","0.98019W","9:52","Permanent pasture","None","None","","Joshua Nightingale","31/01/2017"
43184,"50.77639N","0.9027W","16:07","Arable-bare/ploughed","","","","Joshua Nightingale","25/01/2017"
43183,"50.77944N","0.88273W","16:03","","","","","Joshua Nightingale","25/01/2017"
43182,"50.77905N","0.87794W","16:03","","","","","Joshua Nightingale","25/01/2017"
43181,"50.77994N","0.87472W","16:03","Arable-emerging broadleaved crop","","","","Joshua Nightingale","25/01/2017"
43180,"50.78529N","0.87071W","16:01","","","","","Joshua Nightingale","25/01/2017"
43179,"50.78641N","0.87052W","16:01","","","","","Joshua Nightingale","25/01/2017"
43178,"50.78978N","0.83595W","15:58","","","","","Joshua Nightingale","25/01/2017"
43177,"50.81102N","0.8042W","15:55","","","","","Joshua Nightingale","25/01/2017"
43176,"50.8129N","0.8024W","15:55","","","","","Joshua Nightingale","25/01/2017"
43175,"50.81766N","0.81131W","15:52","","","","","Joshua Nightingale","25/01/2017"
43174,"50.81991N","0.81083W","15:52","","","","","Joshua Nightingale","25/01/2017"
43173,"50.83385N","0.82714W","15:45","","","","","Joshua Nightingale","25/01/2017"
43172,"50.81913N","0.83967W","15:42","","","","","Joshua Nightingale","25/01/2017"
43171,"50.81923N","0.84218W","15:42","","","","","Joshua Nightingale","25/01/2017"
43170,"50.81689N","0.84104W","15:42","","","","","Joshua Nightingale","25/01/2017"
43169,"50.8174N","0.84687W","15:40","","","","","Joshua Nightingale","25/01/2017"
43168,"50.81456N","0.84738W","15:40","","","","","Joshua Nightingale","25/01/2017"
43167,"50.81338N","0.84499W","15:40","","","","","Joshua Nightingale","25/01/2017"
43164,"50.81919N","0.86338W","15:34","","","","","Joshua Nightingale","25/01/2017"
43163,"50.82006N","0.86474W","15:34","","","","","Joshua Nightingale","25/01/2017"
43153,"50.81499N","0.877W","15:15","","None","None","","Joshua Nightingale","25/01/2017"
43151,"50.81794N","0.88031W","14:57","","","","","Joshua Nightingale","25/01/2017"
43150,"50.81898N","0.87561W","14:56","","","","","Joshua Nightingale","25/01/2017"
43149,"50.81993N","0.87536W","14:56","","","","","Joshua Nightingale","25/01/2017"
43148,"50.82316N","0.87435W","14:55","","","","","Joshua Nightingale","25/01/2017"
43147,"50.82485N","0.87437W","14:55","","","","","Joshua Nightingale","25/01/2017"
43145,"50.82864N","0.87675W","14:54","Permanent pasture","","","","Joshua Nightingale","25/01/2017"
43144,"50.8307N","0.88164W","14:53","Arable-emerging broadleaved crop","","","","Joshua Nightingale","25/01/2017"
43143,"50.82872N","0.88448W","14:52","","","","","Joshua Nightingale","25/01/2017"
43139,"50.83806N","0.8816W","14:52","","","","","Joshua Nightingale","25/01/2017"
43138,"50.83991N","0.88561W","14:52","","","","","Joshua Nightingale","25/01/2017"
43137,"50.84418N","0.90533W","14:47","","","","","Joshua Nightingale","25/01/2017"
43134,"50.83338N","0.93289W","14:35","Permanent pasture","None","None","","Joshua Nightingale","25/01/2017"
43133,"50.83555N","0.92911W","14:35","Permanent pasture","None","None","","Joshua Nightingale","25/01/2017"
43132,"50.83861N","0.92044W","14:30","","","","","Joshua Nightingale","25/01/2017"
43131,"50.83769N","0.91838W","14:27","","","","","Joshua Nightingale","25/01/2017"
43130,"50.83853N","0.91735W","14:27","","","","","Joshua Nightingale","25/01/2017"
43129,"50.83921N","0.91628W","14:27","","","","","Joshua Nightingale","25/01/2017"
43128,"50.83948N","0.91503W","14:27","Permanent pasture","","","","Joshua Nightingale","25/01/2017"
43127,"50.84037N","0.91053W","14:20","","None","None","","Joshua Nightingale","25/01/2017"
43126,"50.83903N","0.9081W","14:25","","","","","Joshua Nightingale","25/01/2017"
43125,"50.83792N","0.91743W","14:25","","None","None","","Joshua Nightingale","25/01/2017"
43043,"50.83189N","0.97386W","14:35","","None","None","","Joshua Nightingale","19/01/2017"
43042,"50.83162N","0.97576W","14:30","Permanent pasture","None","None","","Joshua Nightingale","19/01/2017"
43036,"50.83006N","0.98026W","14:54","","None","None","","Joshua Nightingale","19/01/2017"
43035,"50.83N","0.98028W","12:44","","None","None","","Joshua Nightingale","20/01/2017"
43031,"50.84672N","1.01388W","09:31","Permanent pasture","None","None","","Joshua Nightingale","19/01/2017"
43030,"50.84128N","1.02993W","09:31","Playing field","None","Farm/grounds maintenance","","Joshua Nightingale","19/01/2017"
43029,"50.84055N","1.03396W","09:30","Playing field","None","None","","Joshua Nightingale","19/01/2017"
43007,"50.85361N","1.0013W","09:31","Amenity Grassland","None","Walker","","Joshua Nightingale","17/01/2017"
43006,"50.84694N","1.01396W","09:30","Permanent pasture","None","None","","Joshua Nightingale","17/01/2017"
43005,"50.8409N","1.03018W","09:30","Playing field","None","Walker","","Joshua Nightingale","17/01/2017"
43004,"50.84033N","1.03379W","09:30","Playing field","None","Walker","","Joshua Nightingale","17/01/2017"
42979,"50.88705N","1.37355W","13:30","Amenity Grassland","None","None","","Joshua Nightingale","11/12/2016"
42977,"50.88335N","1.34136W","11:30","Permanent pasture","None","None","","Joshua Nightingale","11/12/2016"
42807,50.79028,-1.04739,"12:56","Playing field","","Dog-walker at least one dog off lead","Also football game","David Stevenson","28/12/2016"
42806,50.79064,-1.04928,"12:54","Playing field","","Dog-walker at least one dog off lead","","David Stevenson","28/12/2016"
42790,"50.82978N","0.98026W","15:05","","None","None","H62B","Joshua Nightingale","21/12/2016"
42789,"50.83104N","0.97717W","14:58","","None","None","H60I","Joshua Nightingale","21/12/2016"
42788,"50.83181N","0.97305W","14:51","","None","None","H60I","Joshua Nightingale","21/12/2016"
42787,"50.83165N","0.97537W","14:50","","None","None","","Joshua Nightingale","21/12/2016"
42785,"50.82395N","0.98502W","13:40","Ruderal/Scrubby Grassland","None","None","","Joshua Nightingale","21/12/2016"
42784,"50.82685N","0.98537W","13:35","Ruderal/Scrubby Grassland","None","None","","Joshua Nightingale","21/12/2016"
42782,"50.82898N","0.98019W","13:10","","None","None","","Joshua Nightingale","21/12/2016"
42758,"50.82725N","1.08042W","10:30","Playing field","None","Dog-walker with dog(s) on lead","","Ed Rowsell","20/12/2016"
42746,"50.84166N","1.02612W","10:00-14:30","Permanent pasture","","","","Rachel Cook","15/12/2016"
42737,"50.82591N","1.02411W","10:00-14:30","Sand/shingle bank","","","Submerged","Rachel Cook","15/12/2016"
42733,50.78179,-1.15541,"15:06","Sand/shingle bank","","None","No wader roost today possibly due to low HW height ( 4.4m )","David Stevenson","19/12/2016"
42643,"50.84066N","1.02981W","12:00-16:00","Ruderal/Scrubby Grassland","","","","Rachel Cook","04/12/2016"
42612,"50.82413N","0.96595W","13:25","Arable-Stubble","","","H60F","Joshua Nightingale","30/11/2016"
42608,"50.82969N","0.96741W","12:30","","","","H64","Joshua Nightingale","30/11/2016"
42605,"50.82813N","0.97138W","12:40","Arable-Stubble","","None","H60D","Joshua Nightingale","30/11/2016"
42572,"50.84071N","1.03001W","09:00-13:00","Ruderal/Scrubby Grassland","","","","Rachel Cook","28/11/2016"
42564,50.83413,-1.07683,"13:07","Playing field","None","None","","David Stevenson","30/11/2016"
42406,"50.85868N","0.94902W","09:45","Arable-emerging cereal crop","","None","","Joel Miller","09/12/2015"
42405,"50.8596N","0.95859W","09:35","Arable-emerging cereal crop","","None","","Joel Miller","09/12/2015"
42404,"50.84153N","0.98541W","10:50","Permanent pasture","","None","","Joel Miller","09/12/2015"
42403,"50.84133N","0.98605W","10:05","Permanent pasture","","None","","Joel Miller","09/12/2015"
42402,"50.84697N","1.02064W","11:35","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42401,"50.84702N","1.02064W","09:00","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42400,"50.84805N","1.01532W","11:25","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42399,"50.84816N","1.01584W","08:50","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42398,"50.85073N","1.01931W","11:15","Ruderal/Scrubby Grassland","","None","","Joel Miller","09/12/2015"
42397,"50.85038N","1.01873W","08:35","Ruderal/Scrubby Grassland","","None","","Joel Miller","09/12/2015"
42396,"50.84992N","1.00775W","11:00","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42395,"50.84953N","1.00814W","08:10","Arable-Stubble","","None","","Joel Miller","09/12/2015"
42394,"50.79246N","0.98265W","10:20","Arable-Stubble","","Dog-walker at least one dog off lead","","Joel Miller","09/12/2015"
42393,"50.79268N","0.98454W","10:30","Ruderal/Scrubby Grassland","","None","","Joel Miller","09/12/2015"
42392,"50.79365N","0.98175W","14:45","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42391,"50.79251N","0.98454W","14:55","Ruderal/Scrubby Grassland","","Dog-walker at least one dog off lead","","Joel Miller","30/11/2015"
42390,"50.85898N","0.95742W","14:20","Arable-emerging cereal crop","","None","","Joel Miller","30/11/2015"
42389,"50.85904N","0.94969W","14:05","Arable-emerging cereal crop","","None","","Joel Miller","30/11/2015"
42388,"50.8469N","1.02016W","15:55","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42387,"50.84725N","1.02029W","13:35","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42386,"50.84739N","1.02029W","13:35","","","","","Joel Miller","30/11/2015"
42385,"50.8482N","1.01552W","15:45","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42384,"50.84847N","1.01496W","13:20","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42383,"50.85034N","1.01823W","15:40","Ruderal/Scrubby Grassland","","None","","Joel Miller","30/11/2015"
42382,"50.85012N","1.01754W","13:10","Ruderal/Scrubby Grassland","","None","","Joel Miller","30/11/2015"
42381,"50.85049N","1.00691W","15:30","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42380,"50.84989N","1.00819W","12:50","Arable-Stubble","","None","","Joel Miller","30/11/2015"
42379,"50.84144N","0.9854W","15:20","Permanent pasture","","None","","Joel Miller","30/11/2015"
42378,"50.84133N","0.98575W","12:300","Permanent pasture","","None","","Joel Miller","30/11/2015"
42377,"50.79333N","0.98199W","11:05","Arable-bare/ploughed","","None","","Joel Miller","25/11/2015"
42376,"50.79255N","0.98454W","11:15","Ruderal/Scrubby Grassland","","Dog-walker at least one dog off lead","","Joel Miller","25/11/2015"
42375,"50.85914N","0.94858W","10:25","","","None","","Joel Miller","25/11/2015"
42374,"50.85955N","0.9587W","10:35","Arable-emerging cereal crop","","None","","Joel Miller","25/11/2015"
42373,"50.84648N","1.02082W","12:15","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42372,"50.84791N","1.01501W","12:05","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42371,"50.84679N","1.02149W","09:50","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42370,"50.84792N","1.016W","09:40","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42369,"50.85093N","1.01845W","11:55","Ruderal/Scrubby Grassland","","None","","Joel Miller","25/11/2015"
42368,"50.85103N","1.01862W","09:30","Ruderal/Scrubby Grassland","","None","","Joel Miller","25/11/2015"
42366,"50.85062N","1.00712W","11:45","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42365,"50.85027N","1.00751W","09:10","Arable-Stubble","","None","","Joel Miller","25/11/2015"
42364,"50.84157N","0.9851W","11:35","Permanent pasture","","None","","Joel Miller","25/11/2015"
42363,"50.84156N","0.98573W","08:50","Permanent pasture","","None","","Joel Miller","25/11/2015"
42359,"50.79255N","0.98227W","10:20","Arable-bare/ploughed","","Dog-walker at least one dog off lead","","Joel Miller","24/11/2015"
42358,"50.79247N","0.98459W","10:30","Ruderal/Scrubby Grassland","","None","","Joel Miller","24/11/2015"
42357,"50.85948N","0.94927W","09:35","","","None","","Joel Miller","24/11/2015"
42356,"50.85999N","0.95893W","09:35","Arable-emerging cereal crop","","None","","Joel Miller","24/11/2015"
42355,"50.84154N","0.98545W","10:50","Permanent pasture","","None","","Joel Miller","24/11/2015"
42354,"50.84141N","0.98515W","08:25","Permanent pasture","","None","","Joel Miller","24/11/2015"
42353,"50.85038N","1.00753W","11:05","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42352,"50.84691N","1.021W","11:25","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42351,"50.84707N","1.02062W","09:05","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42350,"50.84813N","1.01512W","11:20","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42349,"50.84748N","1.01547W","08:55","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42348,"50.8503N","1.01813W","11:15","Ruderal/Scrubby Grassland","","None","","Joel Miller","24/11/2015"
42347,"50.85048N","1.01817W","08:45","Ruderal/Scrubby Grassland","","None","","Joel Miller","24/11/2015"
42346,"50.85024N","1.00775W","08:00","Arable-Stubble","","None","","Joel Miller","24/11/2015"
42344,"50.78033N","1.15019W","13:15","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","25/02/2016"
42343,"50.80349N","1.13598W","12:35","Other","","Dog-walker at least one dog off lead","8 brent geese on adjacent water.","Joel Miller","25/02/2016"
42342,"50.78116N","1.14916W","12:05","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","22/02/2016"
42341,"50.79899N","1.13611W","11:45","Amenity Grassland","","None","","Joel Miller","22/02/2016"
42340,"50.80349N","1.13611W","11:25","Other","","","80 brent geese on adjacent water.","Joel Miller","22/02/2016"
42338,"50.78157N","1.14912W","08:55","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","19/01/2016"
42337,"50.8037N","1.13599W","08:15","Other","","Dog-walker at least one dog off lead","45 brent geese on adjacent water.","Joel Miller","19/01/2016"
42335,"50.78053N","1.14989W","15:40","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","15/01/2016"
42334,"50.8036N","1.13629W","15:00","Other","","","2 brent geese on adjacent water","Joel Miller","15/01/2016"
42332,"50.7805N","1.14985W","08:50","Amenity Grassland","","Dog-walker at least one dog off lead","15 brent geese seen flying over.","Joel Miller","22/12/2015"
42331,"50.80357N","1.13581W","08:10","Amenity Grassland","","","c110 brent geese on adjacent water","Joel Miller","22/12/2015"
42327,"50.7808N","1.14955W","09:33","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","08/12/2015"
42326,"50.80371N","1.13573W","08:53","Other","","","25 brent geese on adjacent water","Joel Miller","08/12/2015"
42322,"50.78049N","1.15015W","09:12","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","23/11/2015"
42321,"50.78073N","1.1495W","16:01","Amenity Grassland","","Dog-walker at least one dog off lead","","Joel Miller","18/11/2015"
42320,"50.80366N","1.13594W","08:32","","","Dog-walker at least one dog off lead","","Joel Miller","23/11/2015"
42319,"50.79888N","1.13629W","15:41","Playing field","","","","Joel Miller","18/11/2015"
42318,"50.80379N","1.13581W","08:32","Amenity Grassland","","","","Joel Miller","23/11/2016"
42317,"50.8035N","1.13624W",15.21,"Amenity Grassland","","None","","Joel Miller","18/11/2015"
42294,"50.80782N","1.04411W","13:30","Playing field","None","None","","Ed Rowsell","18/11/2016"
42287,"50.83878N","1.0354W","12:00-15:45","Amenity Grassland","","","","Rachel Cook","18/10/2016"
42284,"50.8416N","1.02785W","12:00-15:45","Other","","","","Rachel Cook","18/10/2016"
42283,"50.84285N","1.02396W","12:00-15:45","Permanent pasture","","","","Rachel Cook","18/10/2016"
42282,"50.84149N","1.02027W","12:00-15:45","Saltmarsh","","","","Rachel Cook","18/10/2016"
42281,"50.83764N","1.02311W","12:00-15:45","Permanent pasture","","","","Rachel Cook","18/10/2016"
42279,"50.83515N","1.02517W","12:00-15:45","Ruderal/Scrubby Grassland","","","","Rachel Cook","18/10/2016"
42278,"50.8261N","1.02345W","12:00-15:45","Sand/shingle bank","","","submerged","Rachel Cook","18/10/2016"
42277,"50.82631N","1.03169W","12:00-15:45","Sand/shingle bank","","","submerged","Rachel Cook","18/10/2016"
42274,"50.83816N","1.03667W","10:00-14:00","Amenity Grassland","","","","Rachel Cook","28/10/2016"
42271,"50.84184N","1.0277W","10:00-14:00","Other","","","","Rachel Cook","28/10/2016"
42270,"50.84287N","1.02409W","10:00-14:00","Permanent pasture","","","","Rachel Cook","28/10/2016"
42262,"50.83739N","1.03705W","10:00-14:00","Amenity Grassland","","","","Rachel Cook","01/11/2016"
42259,"50.84108N","1.02973W","10:00-14:00","Other","","","","Rachel Cook","01/11/2016"
42258,"50.84168N","1.0269W","10:00-14:00","Permanent pasture","","","","Rachel Cook","01/11/2016"
42168,50.79692,-1.12832,"10:36","Playing field","None","None","","David Stevenson","09/11/2016"
42164,50.79888,-1.13648,"10:02","Playing field","None","None","","David Stevenson","09/11/2016"
42156,50.79886,-1.13651,"06:40","Playing field","None","None","","David Stevenson","09/11/2016"
42155,50.80393,-1.13309,"06:40","Other","None","None","","David Stevenson","09/11/2016"
42154,50.79678,-1.12807,"06:40","Playing field","None","None","","David Stevenson","09/11/2016"
42108,"50.83756N","1.03685W","12:00","Amenity Grassland","","","","Jenny Watts","01/11/2016"
42107,"50.84059N","1.03231W","12:00","Other","","","Mixed habitat type","Jenny Watts","01/11/2016"
42106,"50.84233N","1.02518W","12:00","Permanent pasture","","","","Jenny Watts","01/11/2016"
42089,"50.8381N","1.03656W","12:00","Amenity Grassland","","","","Jenny Watts","28/10/2016"
42088,"50.84135N","1.02999W","12:00","Other","","","","Jenny Watts","28/10/2016"
42087,"50.84234N","1.02527W","12:00","Permanent pasture","","","","Jenny Watts","28/10/2016"
42071,50.79620,-1.12807,"12:27","Playing field","None","None","","David Stevenson","31/10/2016"
