"Site_code","Easting","Northing","Area_ha","Onshore","between","clus","degree"
"C1","478357","97650",32.2,"Terrestrial",NA,NA,NA
"C10A","474857","103090",16.36,"Terrestrial",NA,NA,NA
"C10B","476485","101684",15.02,"Terrestrial",NA,NA,NA
"C10C","476592","101309",19.37,"Terrestrial",NA,NA,NA
"C10D","474929","102367",12.92,"Terrestrial",NA,NA,NA
"C10E","475707","103628",3.4,"Terrestrial",NA,NA,NA
"C10F","475781","104354",140.2,"Terrestrial",3,0,3
"C10G","476954","101282",9.34,"Terrestrial",NA,NA,NA
"C10H","476714","100784",43.05,"Terrestrial",NA,NA,NA
"C10I","476518","101868",17.48,"Terrestrial",NA,NA,NA
"C10J","477023","102336",4.32,"Terrestrial",NA,NA,NA
"C10K","474670","102993",7.14,"Terrestrial",NA,NA,NA
"C10L","475900","101832",6.61,"Terrestrial",NA,NA,NA
"C10M","475456","103696",5.98,"Terrestrial",0,NA,1
"C10N","475917","102179",11.13,"Terrestrial",NA,NA,NA
"C10O","476628","102827",13.55,"Terrestrial",NA,NA,NA
"C11","478452","100546",3.32,"Terrestrial",NA,NA,NA
"C12","475827","102322",6.6,"Terrestrial",NA,NA,NA
"C13","476307","102581",5.09,"Terrestrial",NA,NA,NA
"C14","479095","101364",3.25,"Terrestrial",NA,NA,NA
"C15","479931","101509",2.63,"Terrestrial",NA,NA,NA
"C16","480648","101407",0.28,"Terrestrial",NA,NA,NA
"C17","478950","99359",12.39,"Terrestrial",NA,NA,NA
"C18","480259","101231",2.8,"Terrestrial",NA,NA,NA
"C19","473600","98189",1.95,"Terrestrial",NA,NA,NA
"C1A","477640","98014",17.59,"Terrestrial",NA,NA,NA
"C1B","478611","97805",26.09,"Terrestrial",NA,NA,NA
"C1D","477051","99142",2.58,"Terrestrial",NA,NA,NA
"C1E","477041","98220",24.36,"Terrestrial",NA,NA,NA
"C1F","477248","98411",10.95,"Terrestrial",NA,NA,NA
"C1G","477562","99506",0.86,"Terrestrial",NA,NA,NA
"C1H","478543","100941",0.74,"Terrestrial",NA,NA,NA
"C1J","476759","98165",2.68,"Terrestrial",NA,NA,NA
"C1K","479135","101502",0.28,"Terrestrial",NA,NA,NA
"C20","476609","99202",5.59,"Terrestrial",NA,NA,NA
"C21","480708","99658",2.08,"Terrestrial",NA,NA,NA
"C22","479231","102329",1.66,"Terrestrial",NA,NA,NA
"C33","474929","103724",12.67,"Terrestrial",NA,NA,NA
"C24","480073","101986",0.31,"Terrestrial",NA,NA,NA
"C25","475126","103769",7.26,"Terrestrial",0,NA,1
"C36","479154","100025",9.48,"Terrestrial",NA,NA,NA
"C27","472660","101247",0.06,"Terrestrial",NA,NA,NA
"C28","481231","99378",4.16,"Terrestrial",NA,NA,NA
"C29","473717","102448",0.06,"Terrestrial",NA,NA,NA
"C2A","478004","98941",4.69,"Terrestrial",NA,NA,NA
"C2B","477996","99366",3.46,"Terrestrial",NA,NA,NA
"C2C","477632","99070",31.36,"Terrestrial",NA,NA,NA
"C30","479957","103660",0.14,"Terrestrial",NA,NA,NA
"C32","479372","104255",0.42,"Terrestrial",NA,NA,NA
"C3A","478408","100296",18.69,"Terrestrial",NA,NA,NA
"C3B","478570","100657",8.7,"Terrestrial",NA,NA,NA
"C3C","478848","101149",42.97,"Terrestrial",NA,NA,NA
"C3F","478774","100326",17.44,"Terrestrial",NA,NA,NA
"C3J","480978","100892",1.28,"Terrestrial",NA,NA,NA
"C3K","478996","100699",12.25,"Terrestrial",NA,NA,NA
"C4B","480782","102854",76.53,"Terrestrial",NA,NA,NA
"C4D","479777","102499",23.4,"Terrestrial",NA,NA,NA
"C4G","480457","102373",18.65,"Terrestrial",NA,NA,NA
"C4J","481783","103258",88.94,"Terrestrial",NA,NA,NA
"C4L","480370","102053",9.13,"Terrestrial",NA,NA,NA
"C4N","481829","104053",61.37,"Terrestrial",NA,NA,NA
"C4T","480419","101947",1.39,"Terrestrial",NA,NA,NA
"C4W","479710","102503",1.49,"Terrestrial",NA,NA,NA
"C4X","480617","103554",1.85,"Terrestrial",NA,NA,NA
"C4Z","480730","101770",1.58,"Terrestrial",NA,NA,NA
"C5","480238","105328",3.46,"Terrestrial",NA,NA,NA
"C5A","479485","104659",20.43,"Terrestrial",NA,NA,NA
"C5B","480134","105102",13.93,"Terrestrial",NA,NA,NA
"C5C","480679","104772",30.05,"Terrestrial",NA,NA,NA
"C5D","481221","104978",11.76,"Terrestrial",NA,NA,NA
"C5E","480678","105178",9.19,"Terrestrial",NA,NA,NA
"C5F","480218","104935",0.72,"Terrestrial",NA,NA,NA
"C5G","479872","105047",0.92,"Terrestrial",NA,NA,NA
"C6A","479558","103032",2.23,"Terrestrial",NA,NA,NA
"C6B","479617","103629",15.68,"Terrestrial",NA,NA,NA
"C6C","479724","103890",5.12,"Terrestrial",NA,NA,NA
"C6D","479327","102158",5.81,"Terrestrial",NA,NA,NA
"C6E","479350","102863",1.39,"Terrestrial",NA,NA,NA
"C6F","479940","103838",0.1,"Terrestrial",NA,NA,NA
"C6G","479690","104510",3.6,"Terrestrial",NA,NA,NA
"C6H","479875","104029",0.03,"Terrestrial",NA,NA,NA
"C6I","479820","104084",0.03,"Terrestrial",NA,NA,NA
"C7A","479019","102731",12.86,"Terrestrial",NA,NA,NA
"C7C","478588","101936",1.27,"Terrestrial",NA,NA,NA
"C7D","477884","101356",1.52,"Terrestrial",0,NA,1
"C7E","479718","103422",1.1,"Terrestrial",NA,NA,NA
"C7F","479394","102126",0.83,"Terrestrial",NA,NA,NA
"C8","478360","103541",43.87,"Terrestrial",0,NA,1
"C8A","478815","102156",5.78,"Terrestrial",NA,NA,NA
"C8B","477793","103827",0.37,"Terrestrial",NA,NA,NA
"C8C","478146","102982",1.68,"Terrestrial",NA,NA,NA
"C8D","478701","102344",14.69,"Terrestrial",NA,NA,NA
"C9","478241","104198",33.33,"Terrestrial",0,NA,1
"C9A","478389","104702",27.78,"Terrestrial",NA,NA,NA
"C9B","478208","105139",31.38,"Terrestrial",NA,NA,NA
"C9C","477205","104968",9,"Terrestrial",NA,NA,NA
"C9D","476383","104888",6.45,"Terrestrial",NA,NA,NA
"C9E","476476","104331",6.53,"Terrestrial",NA,NA,NA
"C9F","477705","104800",0.25,"Terrestrial",NA,NA,NA
"C9G","477668","105099",6.63,"Terrestrial",NA,NA,NA
"C9H","476881","104979",0.15,"Terrestrial",NA,NA,NA
"C9I","477825","104202",0.1,"Terrestrial",NA,NA,NA
"C9W","478072","104572",1.35,"Terrestrial",NA,NA,NA
"E04","446122","107676",2.08,"Terrestrial",NA,NA,NA
"E05","446852","106937",7.61,"Terrestrial",NA,NA,NA
"E06","447536","106302",1.36,"Terrestrial",NA,NA,NA
"E07","447958","106242",14.83,"Terrestrial",NA,NA,NA
"E08","448465","105402",20.58,"Terrestrial",NA,NA,NA
"E09","448281","106099",7.03,"Terrestrial",NA,NA,NA
"E10","449075","109155",8.96,"Terrestrial",NA,NA,NA
"E11","448771","108867",8.99,"Terrestrial",NA,NA,NA
"E12","448602","108967",7.52,"Terrestrial",NA,NA,NA
"E12B","448421","108551",10.79,"Terrestrial",NA,NA,NA
"E13","448529","107707",12.07,"Terrestrial",NA,NA,NA
"E14","447859","107768",73.92,"Terrestrial",NA,NA,NA
"E15","448309","106402",8.57,"Terrestrial",NA,NA,NA
"F01","458049","105316",1.68,"Terrestrial",NA,NA,NA
"F02","457332","106003",0.52,"Terrestrial",NA,NA,NA
"F03A","457515","102055",30.48,"Terrestrial",NA,NA,NA
"F03B","457273","102391",3.81,"Terrestrial",NA,NA,NA
"F03C","457199","102238",2.25,"Terrestrial",NA,NA,NA
"F04","461107","104755",4.03,"Terrestrial",NA,NA,NA
"F05","459843","105191",15.24,"Terrestrial",NA,NA,NA
"F06","454946","102002",4.67,"Terrestrial",NA,NA,NA
"F07","457127","105393",10.53,"Terrestrial",NA,NA,NA
"F08","459440","106656",33.61,"Terrestrial",NA,NA,NA
"F09","461083","106323",3.35,"Terrestrial",NA,NA,NA
"F10","460405","106310",26.19,"Terrestrial",NA,NA,NA
"F11","456459","103364",8.28,"Terrestrial",NA,NA,NA
"F12","456674","103314",3.05,"Terrestrial",NA,NA,NA
"F13","456295","102153",154.16,"Terrestrial",NA,NA,NA
"F14","462477","104563",2.47,"Terrestrial",NA,NA,NA
"F15","457196","103397",25.1,"Terrestrial",NA,NA,NA
"F16","462388","104890",3.46,"Terrestrial",NA,NA,NA
"F17A","455531","105348",3.63,"Terrestrial",NA,NA,NA
"F17B","455455","105049",8.22,"Terrestrial",NA,NA,NA
"F17C","455358","104667",17.32,"Terrestrial",NA,NA,NA
"F17D","455399","104281",8.29,"Terrestrial",NA,NA,NA
"F17E","455162","104814",6.1,"Terrestrial",NA,NA,NA
"F17F","455003","105197",8.07,"Terrestrial",NA,NA,NA
"F17G","455273","105212",9.66,"Terrestrial",NA,NA,NA
"F17H","455613","104457",0.36,"Terrestrial",NA,NA,NA
"F17I","455782","105219",9.41,"Terrestrial",NA,NA,NA
"F17K","455736","104893",4.1,"Terrestrial",NA,NA,NA
"F17N","456121","103888",50.86,"Terrestrial",NA,NA,NA
"F17O","455896","103712",12.8,"Terrestrial",NA,NA,NA
"F17P","456310","103537",37.33,"Terrestrial",NA,NA,NA
"F17Q","456557","102845",16.66,"Terrestrial",NA,NA,NA
"F17R","456049","103200",7.66,"Terrestrial",NA,NA,NA
"F17S","456962","102754",5.27,"Terrestrial",NA,NA,NA
"F18","458305","105971",3.63,"Terrestrial",NA,NA,NA
"F19A","458727","105301",68.62,"Terrestrial",NA,NA,NA
"F19B","459019","105961",8.37,"Terrestrial",NA,NA,NA
"F21","460102","105424",18.83,"Terrestrial",NA,NA,NA
"F22","459735","105554",8.69,"Terrestrial",NA,NA,NA
"F23","457574","103901",4.67,"Terrestrial",NA,NA,NA
"F24","456620","104763",7.3,"Terrestrial",NA,NA,NA
"F25","456537","105508",4.1,"Terrestrial",NA,NA,NA
"F26","456629","105890",4.01,"Terrestrial",NA,NA,NA
"F27","456280","105968",0.48,"Terrestrial",NA,NA,NA
"F28A","454796","104906",28.9,"Terrestrial",NA,NA,NA
"F28B","454583","105209",2.42,"Terrestrial",NA,NA,NA
"F29","454397","105021",4.97,"Terrestrial",NA,NA,NA
"F30","454289","104764",1.73,"Terrestrial",NA,NA,NA
"F31","454572","104310",20.58,"Terrestrial",NA,NA,NA
"F32","454978","104334",1.26,"Terrestrial",NA,NA,NA
"F33A","454863","104153",2.42,"Terrestrial",NA,NA,NA
"F33B","454747","103984",4.17,"Terrestrial",NA,NA,NA
"F33C","454574","103777",9.73,"Terrestrial",NA,NA,NA
"F33D","454512","103611",1.56,"Terrestrial",NA,NA,NA
"F33E","454476","103558",2.05,"Terrestrial",NA,NA,NA
"F33F","454371","103384",11.25,"Terrestrial",NA,NA,NA
"F33G","454373","103150",2.62,"Terrestrial",NA,NA,NA
"F33H","454458","103096",1.14,"Terrestrial",NA,NA,NA
"F33I","454251","103054",2.23,"Terrestrial",NA,NA,NA
"F33J","454173","102955",4.25,"Terrestrial",NA,NA,NA
"F33K","454078","102807",6.88,"Terrestrial",NA,NA,NA
"F34","454807","103380",1.8,"Terrestrial",NA,NA,NA
"F35","455552","102960",1.91,"Terrestrial",NA,NA,NA
"F36","455197","101971",2.06,"Terrestrial",NA,NA,NA
"F37A","459484","107193",1.28,"Terrestrial",NA,NA,NA
"F37B","459455","107357",3.27,"Terrestrial",NA,NA,NA
"F37C","459699","107361",5.68,"Terrestrial",NA,NA,NA
"F37D","459932","107569",5.42,"Terrestrial",NA,NA,NA
"F37E","459955","107326",8.17,"Terrestrial",NA,NA,NA
"F37F","459766","107090",8.83,"Terrestrial",NA,NA,NA
"F37G","460166","107201",13.87,"Terrestrial",NA,NA,NA
"F37H","460158","107720",6.65,"Terrestrial",NA,NA,NA
"F38","461002","105959",2.52,"Terrestrial",NA,NA,NA
"F39","459271","105827",3.31,"Terrestrial",NA,NA,NA
"F41","460385","105490",5.45,"Terrestrial",NA,NA,NA
"F42","460535","105498",1.23,"Terrestrial",NA,NA,NA
"F43","461175","105462",1.41,"Terrestrial",NA,NA,NA
"F44","461514","105308",3.08,"Terrestrial",NA,NA,NA
"F45","461835","105201",1.83,"Terrestrial",NA,NA,NA
"F46A","460400","104876",4.34,"Terrestrial",NA,NA,NA
"F46B","460642","104837",3.32,"Terrestrial",NA,NA,NA
"F47B","454242","105057",9.14,"Terrestrial",NA,NA,NA
"F47C","453844","103751",43.66,"Terrestrial",NA,NA,NA
"F47D","454029","103670",46.89,"Terrestrial",NA,NA,NA
"F48A","453996","105342",5,"Terrestrial",NA,NA,NA
"F48B","453783","105086",11.93,"Terrestrial",NA,NA,NA
"F48C","453437","104608",17.17,"Terrestrial",NA,NA,NA
"F48D","453728","104650",10.65,"Terrestrial",NA,NA,NA
"F48E","453857","104655",6.46,"Terrestrial",NA,NA,NA
"F48G","453413","104156",5.59,"Terrestrial",NA,NA,NA
"F48H","453426","103831",8.34,"Terrestrial",NA,NA,NA
"F48I","453639","103905",3.37,"Terrestrial",NA,NA,NA
"F48J","453780","103755",3.88,"Terrestrial",NA,NA,NA
"F48K","453606","103603",5.53,"Terrestrial",NA,NA,NA
"F48L","453477","103445",7.07,"Terrestrial",NA,NA,NA
"F49","453001","104771",58.04,"Terrestrial",NA,NA,NA
"F50","451260","103800",54.18,"Terrestrial",NA,NA,NA
"F51","450702","104522",38.07,"Terrestrial",NA,NA,NA
"F52","450254","104739",15.51,"Terrestrial",NA,NA,NA
"F53","451476","104368",72.58,"Terrestrial",NA,NA,NA
"F54","453268","103052",11.19,"Terrestrial",NA,NA,NA
"F55","452428","103322",86.35,"Terrestrial",NA,NA,NA
"F56","452469","104235",61.58,"Terrestrial",NA,NA,NA
"F57","448958","107311",0.82,"Terrestrial",NA,NA,NA
"F58","448783","106874",2.44,"Terrestrial",NA,NA,NA
"F59","448785","106217",0.12,"Terrestrial",NA,NA,NA
"F60","449007","105167",5.5,"Terrestrial",NA,NA,NA
"F61","448892","105398",9.8,"Terrestrial",NA,NA,NA
"F62","449178","104824",5.7,"Terrestrial",NA,NA,NA
"F63","449538","104572",9.71,"Terrestrial",0,NA,1
"F64","449457","104815",7.73,"Terrestrial",NA,NA,NA
"F65A","450151","104587",7.33,"Terrestrial",NA,NA,NA
"F65B","450132","104334",10.41,"Terrestrial",NA,NA,NA
"F66","450188","104136",3.2,"Terrestrial",NA,NA,NA
"F67","449891","104262",4.82,"Terrestrial",NA,NA,NA
"F68","449310","104615",13.14,"Terrestrial",0,NA,1
"F69","449046","105851",11.86,"Terrestrial",NA,NA,NA
"F70","448955","106558",7.2,"Terrestrial",NA,NA,NA
"F71","448764","107039",2.91,"Terrestrial",NA,NA,NA
"F71A","448906","107039",7.63,"Terrestrial",NA,NA,NA
"F72","449031","107529",8.14,"Terrestrial",NA,NA,NA
"F73","448951","108079",2.25,"Terrestrial",NA,NA,NA
"F74","449299","108243",27,"Terrestrial",NA,NA,NA
"F74A","449269","108789",0.53,"Terrestrial",NA,NA,NA
"F75","448860","108336",1.66,"Terrestrial",NA,NA,NA
"F76","455904","105056",11.78,"Terrestrial",NA,NA,NA
"F77","457363","103585",3.62,"Terrestrial",NA,NA,NA
"F78","462334","104201",43.34,"Terrestrial",1,0,2
"F79","453007","103699",2.37,"Terrestrial",NA,NA,NA
"F80","453386","105105",3.43,"Terrestrial",NA,NA,NA
"F81","453273","103825",2.46,"Terrestrial",NA,NA,NA
"F82","455419","101505",0.6,"Terrestrial",NA,NA,NA
"G01","460905","98150",3.54,"Terrestrial",7.5,0,3
"G02","458902","99802",9.22,"Terrestrial",0,1,2
"G03","461570","100015",3.91,"Terrestrial",3,0,2
"G04","460873","101046",3.85,"Terrestrial",NA,NA,NA
"G05","461053","98960",11.1,"Terrestrial",0,NA,1
"G06","459881","98377",7.07,"Terrestrial",NA,NA,NA
"G07","459048","98874",1.96,"Terrestrial",NA,NA,NA
"G08","457328","99561",6.72,"Terrestrial",NA,NA,NA
"G09","458400","102815",6.43,"Terrestrial",NA,NA,NA
"G10","459248","99973",5.6,"Terrestrial",15,0.333333333333333,3
"G11","460245","102866",22.83,"Terrestrial",NA,NA,NA
"G12","460391","101764",3.16,"Terrestrial",NA,NA,NA
"G13","457652","104077",1.89,"Terrestrial",NA,NA,NA
"G14","458574","99816",15.15,"Terrestrial",NA,NA,NA
"G15","458731","99280",8.68,"Terrestrial",7,0.333333333333333,3
"G16","459679","99879",8.07,"Terrestrial",NA,NA,NA
"G17","457324","102810",8.76,"Terrestrial",NA,NA,NA
"G18","459379","103763",85.83,"Terrestrial",NA,NA,NA
"G20","460983","100820",1.67,"Terrestrial",NA,NA,NA
"G21","461087","100482",1.24,"Terrestrial",NA,NA,NA
"G22","460195","99164",1.4,"Terrestrial",NA,NA,NA
"G23A","460208","98099",6.45,"Terrestrial",NA,NA,NA
"G23B","460332","98000",8.74,"Terrestrial",NA,NA,NA
"G23C","460631","97810",13.44,"Terrestrial",NA,NA,NA
"G24","458520","101652",1.4,"Terrestrial",NA,NA,NA
"G25A","457437","101380",22.24,"Terrestrial",NA,NA,NA
"G25B","457422","101040",13.7,"Terrestrial",NA,NA,NA
"G25C","457534","100401",12.06,"Terrestrial",NA,NA,NA
"G25D","457835","99870",22.02,"Terrestrial",NA,NA,NA
"G26","457564","102809",2.78,"Terrestrial",NA,NA,NA
"G27","457735","103768",2.38,"Terrestrial",NA,NA,NA
"G28","458615","104216",14.19,"Terrestrial",NA,NA,NA
"G30A","460210","102350",3.18,"Terrestrial",NA,NA,NA
"G30B","460438","102256",0.7,"Terrestrial",NA,NA,NA
"G30C","460395","102372",2.92,"Terrestrial",NA,NA,NA
"G31","460961","97780",10.21,"Terrestrial",5,0,2
"G32A","461568","99759",1.03,"Terrestrial",NA,NA,NA
"G32B","461652","99626",3.04,"Terrestrial",0,NA,1
"G33","459484","102866",10.42,"Terrestrial",NA,NA,NA
"G34","458669","104541",1.41,"Terrestrial",0,NA,1
"G35","459933","103869",0.08,"Terrestrial",0,NA,1
"G36","459871","103788",0.8,"Terrestrial",NA,NA,NA
"G37","459757","98273",9.67,"Terrestrial",NA,NA,NA
"G38","461193","100878",0.31,"Terrestrial",NA,NA,NA
"G39","461210","100754",0.2,"Terrestrial",NA,NA,NA
"G40","461650","101457",0.36,"Terrestrial",NA,NA,NA
"G41","461630","99084",0.52,"Terrestrial",NA,NA,NA
